rank_position,player_id,username,total_wager_usd,active_days
182,"79,918",Didieusz,0,0
183,"79,933",Mneghost84,0,0
184,"79,944",Owa10,0,0
185,"80,011",Pk967,0,0
186,"79,501",Amandev919,0,0
187,"80,064",Primus,0,0
188,"79,043",tangqi,0,0
189,"79,155",GAME,0,0
190,"79,350",itsrod,0,0
191,"79,355",CanoAj,0,0
192,"79,384",nas3rcs2,0,0
193,"79,432",Manal22,0,0
194,"79,441",Jonsnow,0,0
195,"79,455",Rick,0,0
196,"79,463",SheffAura,0,0
197,"79,504",kriptomanniac,0,0
198,"79,514",oxyahqiqi,0,0
199,"79,483",rayatsukki,0,0
200,"79,486",Solananaa,0,0
201,"79,495",Dosantos,0,0
202,"79,507",Abdqadr,0,0
203,"79,527",jwishere,0,0
204,"79,539",MGWASTAKEN,0,0
205,"79,549",meiidnight,0,0
206,"79,553",WeLoveButcher77,0,0
207,"79,562",yamalszn,0,0
208,"79,576",dogelon,0,0
209,"79,581",Stringerjoeyy,0,0
210,"79,604",Marshmallow,0,0
211,"79,606",metadegen,0,0
212,"79,612",SesKy69,0,0
213,"79,706",tloczus420,0,0
214,"79,743",erakthewise,0,0
215,"79,807",promcio321,0,0
216,"79,813",delytee,0,0
217,"79,831",Cryyptonsingh,0,0
218,"79,896",Misscat,0,0
219,"79,686",Ellem,0,0
220,"79,959",OmegaFTW,0,0
221,"80,040",archl,0,0
222,"79,349",peaks69420,0,0
223,"79,353",defnoteds,0,0
224,"79,419",Khush069,0,0
225,"79,387",cenze,0,0
226,"79,392",JamieWest101,0,0
227,"79,415",Wtban,0,0
228,"79,425",Pjuck3n,0,0
229,"79,446",wucaknshro,0,0
230,"79,450",GBN98,0,0
231,"79,459",Bostoll11,0,0
232,"79,474",rwinss22,0,0
233,"79,492",KingProfits,0,0
234,"79,503",ktysdarling03,0,0
235,"79,509",d3moonn,0,0
236,"79,516",Ashrey,0,0
237,"79,518",MihaiBmA,0,0
238,"79,533",louera,0,0
239,"79,558",miggsbtx,0,0
240,"79,574",Docchj,0,0
241,"79,582",Elbash143,0,0
242,"79,584",4dada,0,0
243,"79,580",donchoby,0,0
244,"79,616",Joejoe,0,0
245,"79,617",synzviky,0,0
246,"79,623",Olaunited,0,0
247,"79,632",hansootan,0,0
248,"79,667",Singaqti,0,0
249,"79,741",champguy,0,0
250,"79,747",Kpearl86,0,0
251,"79,541",Francis0204,0,0
252,"79,799",ickah22,0,0
253,"79,824",zione420,0,0
254,"79,847",QueenNova,0,0
255,"79,853",Brief,0,0
256,"79,891",Krooked,0,0
257,"79,892",XukiNop,0,0
258,"79,899",Woojinme,0,0
259,"79,557",anyeurr,0,0
260,"79,929",dovlew5,0,0
261,"79,073",FIleex,0,0
262,"79,145",Bleson,0,0
263,"79,354",fluffypeach,0,0
264,"79,559",Blinhxonex,0,0
265,"79,373",1spin,0,0
266,"79,599",apu333,0,0
267,"79,376",Mujeeb123,0,0
268,"79,378",blackeyy,0,0
269,"79,380",tirakact,0,0
270,"79,390",sinjibu,0,0
271,"79,409",LogicZulu,0,0
272,"79,413",riansantana,0,0
273,"79,431",Demousflar22,0,0
274,"79,436",WantedMaverick,0,0
275,"79,437",hamu802,0,0
276,"79,439",MrStupendous000,0,0
277,"79,442",Bicunbicun,0,0
278,"79,443",Shinjineko,0,0
279,"79,467",Crydoo,0,0
280,"79,472",Rubixon123,0,0
281,"79,506",Daries,0,0
282,"79,544",lemz100x,0,0
283,"79,607",asifchta,0,1
284,"79,608",Chanchinda,0,0
285,"79,614",romergg69,0,0
286,"79,638",Inticer,0,0
287,"79,430",Nemo078,0,0
288,"79,729",Anthony077,0,0
289,"79,748",Juceelazaddy,0,0
290,"79,753",Namastezen,0,0
291,"79,759",mujuriee,0,0
292,"79,880",Tifivagyok,0,0
293,"80,084",Ironleg,0,0
294,"79,142",GGGTTT5,0,0
295,"79,149",Rikukoira,0,0
296,"79,714",Dgenerall,0,0
297,"79,449",Doovy,0,0
298,"79,454",winwivy,0,0
299,"79,460",Lordjims,0,0
300,"79,560",Katowi,0,0
301,"79,473",nsaisnazen,0,0
302,"79,477",Dompelo,0,0
303,"79,488",gemmfer,0,0
304,"79,502",Sanam777,0,0
305,"79,513",Tiperop,0,0
306,"79,519",Hyacinthshia,0,0
307,"79,520",tyreshelby,0,0
308,"79,543",Vajix,0,0
309,"79,545",Mizu,0,0
310,"79,569",AndrewTwettX,0,0
