rank_position,player_id,username,total_wager_usd,active_days
"1,""79,131"",neksann77,""172,675.98"",28"
"134,""80,435"",parabax94,0,0"
"135,""79,149"",Rikukoira,0,0"
"136,""79,750"",akgamingtoday,0,0"
"137,""79,376"",Mujeeb123,0,0"
"138,""79,409"",LogicZulu,0,0"
"139,""80,483"",kawaya1,0,0"
"140,""79,427"",DanelleVW,0,0"
"141,""79,458"",4Kael,0,0"
"142,""79,933"",Mneghost84,0,0"
"143,""79,542"",Gdzl,0,0"
"144,""79,589"",Elshamae,0,0"
"145,""79,769"",ty6666,0,0"
"146,""79,900"",akashahomed,0,0"
"147,""79,513"",Tiperop,0,0"
"148,""79,390"",sinjibu,0,0"
"149,""79,437"",hamu802,0,0"
"150,""79,442"",Bicunbicun,0,0"
"151,""79,544"",lemz100x,0,0"
"152,""79,683"",Nerobig01,0,0"
"153,""80,207"",UnityBeast,0,0"
"154,""79,460"",Lordjims,0,0"
"155,""79,502"",Sanam777,0,0"
"156,""79,931"",Yongdiba,0,0"
"157,""80,475"",izzypozx,0,0"
"158,""79,505"",Bigstepps,0,0"
"159,""79,535"",Kenzo,0,0"
"160,""79,777"",old99,0,0"
"161,""79,382"",therektguy,0,0"
"162,""79,587"",donhoki99,0,0"
"163,""79,744"",Demarco876,0,0"
"164,""79,477"",Dompelo,0,0"
"165,""79,488"",gemmfer,0,0"
"166,""79,519"",Hyacinthshia,0,0"
"167,""80,097"",Sardirich,0,0"
"168,""79,638"",Inticer,0,0"
"169,""79,466"",nicol3,0,0"
"170,""79,521"",riebet,0,0"
"171,""79,564"",Gooddaay69,0,0"
"172,""79,716"",samozrejme,0,0"
"173,""79,761"",PByTheS34,0,0"
"174,""79,883"",Thunderclouds,0,0"
"175,""80,064"",Primus,0,0"
"176,""79,142"",GGGTTT5,0,0"
"177,""79,809"",TankYi420,0,0"
"178,""79,880"",Tifivagyok,0,0"
"179,""80,623"",Madaamm,0,0"
"180,""80,660"",Carpone18,0,0"
"181,""79,568"",DWAXdwa,0,0"
"182,""80,213"",TuriK,0,0"
"183,""79,418"",iamversatile,0,0"
"184,""79,491"",Akshitshit1234,0,0"
"185,""79,598"",ItsSoftSage,0,0"
"186,""79,449"",Doovy,0,0"
"187,""79,615"",LTBTCX,0,0"
"188,""79,506"",Daries,0,0"
"189,""80,726"",kzy74,0,0"
"190,""79,532"",WebAbstracted,0,0"
"191,""79,688"",sn3kyyy,0,0"
"192,""79,431"",Demousflar22,0,0"
"193,""79,517"",Cryptoman77,0,0"
"194,""80,622"",piptaker3580,0,0"
"195,""79,585"",beamstzyz,0,0"
"196,""79,607"",asifchta,0,1"
"197,""79,523"",dana,0,0"
"198,""79,464"",munishdev,0,0"
"199,""79,386"",younggreat863,0,0"
"200,""79,479"",thoai,0,0"
"201,""79,143"",Sharma,0,0"
"202,""79,569"",AndrewTwettX,0,0"
"203,""80,609"",Mateenez,0,1"
"204,""79,490"",NaimR,0,0"
"205,""80,289"",hilwanagus,0,0"
"206,""79,782"",tings,0,1"
"207,""79,548"",Misaki29,0,0"
"208,""79,618"",python7r,0,1"
"209,""79,689"",johndoe1,0,0"
"210,""80,608"",Cleanbandit,0,1"
"211,""79,636"",Taiga,0,0"
"212,""79,600"",Sufrz,0,0"
"213,""79,145"",Bleson,0,0"
"214,""79,756"",UnoDos,0,0"
"215,""79,380"",tirakact,0,0"
"216,""79,446"",wucaknshro,0,0"
"217,""79,043"",tangqi,0,0"
"218,""79,160"",Degen,0,0"
"219,""79,419"",Khush069,0,0"
"220,""79,433"",Prince000,0,0"
"221,""79,566"",Lebby,0,0"
"222,""79,599"",apu333,0,0"
"223,""79,881"",BrawlzerX,0,0"
"224,""79,533"",louera,0,0"
"225,""79,929"",dovlew5,0,0"
"226,""79,507"",Abdqadr,0,0"
"227,""79,896"",Misscat,0,0"
"228,""80,644"",Shinei,0,0"
"229,""79,481"",Shahhnu,0,0"
"230,""79,448"",Degen666,0,0"
"231,""79,773"",SpecialX,0,0"
"232,""80,677"",dogePtg,0,0"
"233,""80,525"",bantiadhikary,0,0"
"234,""79,503"",ktysdarling03,0,0"
"235,""79,899"",Woojinme,0,0"
"236,""79,807"",promcio321,0,0"
"237,""79,959"",OmegaFTW,0,0"
"238,""80,474"",xyron27,0,0"
"239,""79,555"",platypus,0,0"
"240,""79,586"",xkeibidi,0,0"
"241,""79,745"",BigBlowoff,0,0"
"242,""79,482"",Polnishqueen,0,0"
"243,""79,504"",kriptomanniac,0,0"
"244,""79,580"",donchoby,0,0"
"245,""79,518"",MihaiBmA,0,0"
"246,""79,385"",yjimvj,0,0"
"247,""79,570"",Rakib78,0,0"
"248,""79,489"",Nicolaiq,0,0"
"249,""79,459"",Bostoll11,0,0"
"250,""79,616"",Joejoe,0,0"
"251,""79,155"",GAME,0,0"
"252,""79,352"",itzrodz,0,0"
"253,""79,426"",regidancodes,0,0"
"254,""79,453"",Popyeta25,0,0"
"255,""79,588"",eillanoire,0,0"
"256,""79,377"",nvztedwg,0,0"
"257,""79,497"",ozancan1234,0,0"
"258,""79,557"",anyeurr,0,0"
"259,""79,874"",Willcy,0,0"
"260,""80,670"",rintarozen,0,0"
"261,""79,474"",rwinss22,0,0"
"262,""79,799"",ickah22,0,0"
"263,""79,891"",Krooked,0,0"
"264,""79,350"",itsrod,0,0"
"265,""79,495"",Dosantos,0,0"
"266,""79,813"",delytee,0,0"
"267,""80,656"",Snipe,0,0"
"268,""79,393"",cookbover,0,0"
